bloque,num_bloque,respuesta,enunciado
especifico,41,,"En una red Ethernet tradicional con CSMA/CD, una colisión se detecta cuando:"
especifico,42,,En Ethernet conmutada en modo full-duplex:
especifico,43,,¿Cuál es la unidad de datos en el nivel de enlace de datos en Ethernet?
especifico,44,,En la conmutación de paquetes orientada a circuitos virtuales:
especifico,45,,El protocolo TCP se caracteriza por ser:
especifico,46,,"En una red Ethernet 802.3, el campo FCS (Frame Check Sequence) de la trama se utiliza para:"
especifico,47,,"En una red IP, el campo TTL (Time To Live) de un paquete se utiliza para:"
especifico,48,,¿Cuál de los siguientes protocolos se utiliza típicamente en una red LAN Ethernet para el acceso al medio compartido?
especifico,49,,¿Cuál de las siguientes características puede aplicarse en la conmutación de paquetes mediante datagramas?
especifico,50,,¿Cuál de las siguientes características de los dispositivos de interconexión es correcta?
especifico,51,,¿Qué información utiliza principalmente un router para decidir por qué interfaz debe reenviar un paquete IP recibido?
especifico,52,,¿Cuáles son las capas OSI en las que opera un router para la interconexión de dos sistemas?
especifico,53,,¿Cuál de los siguientes es un tipo de VLAN válido?
especifico,54,,¿Qué efecto tiene la incorporación de un router entre dos redes LAN distintas?
especifico,55,,¿Cuál de estos dispositivos sirve para interconectar a nivel 3 (IP) dos o más LAN diferentes?
especifico,56,,"Un ordenador A tiene dirección IP 192.168.2.12/24 y la pasarela por omisión P en su LAN es 192.168.2.1. A envía un datagrama IP al ordenador B, que tiene dirección IP 192.168.3.18. ¿Cuál de estas afirmaciones es cierta?"
especifico,57,,ICMP es:
especifico,58,,¿Qué campo de una trama Ethernet se utiliza para detectar errores?
especifico,59,,¿Cuál de estas definiciones corresponde a un sistema autónomo (AS) de Internet?
especifico,60,,"¿Cuál de estos protocolos no es un IGP (Interior Gateway Protocol), es decir, no realiza encaminamiento intradominio?"
especifico,61,,¿Cuál de estas afirmaciones sobre las direcciones IPv4 es cierta?
especifico,62,,"Usando NAT, un ISP puede:"
especifico,63,,¿Cuál de estas afirmaciones sobre las direcciones físicas (MAC) y lógicas (IPv4) es falsa?
especifico,64,,¿Cuál de los siguientes es un protocolo de enrutamiento?
especifico,65,,¿Por qué Internet utiliza enrutamiento jerárquico mediante sistemas autónomos?
especifico,66,,¿Cuál de estos tipos de direcciones no existen en IPv6?
especifico,67,,¿Cuál es la principal diferencia funcional entre un bridge y un router?
especifico,68,,"En el encaminamiento basado en vector distancia, cada router:"
especifico,69,,"En el direccionamiento IPv4 moderno (CIDR), ¿qué característica permite una mayor flexibilidad en la asignación de direcciones IP?"
especifico,70,,"En una arquitectura TCP/IP, el protocolo ARP se utiliza cuando:"
especifico,71,,"¿Cuál de las siguientes direcciones IPv6 se utiliza para identificar a un conjunto de interfaces, enviando el paquete a la más cercana según el routing?"
especifico,72,,"En el algoritmo de Dijkstra utilizado en protocolos de estado de enlace, el objetivo es:"
especifico,73,,"En el diagrama Entidad/Relación (E/R), los conjuntos de entidades se representan mediante:"
especifico,74,,"En el modelo relacional, los atributos principales tienen la restricción:"
especifico,75,,"En el modelo relacional, la operación del álgebra relacional que hace casar las tuplas, cuyos valores coinciden para los atributos que son comunes a ambas relaciones, se denomina:"
especifico,76,,"En el diseño de un modelo Entidad/Relación (E/R), ¿cuál de las siguientes afirmaciones define mejor lo que es una clave candidata?"
especifico,77,,¿Cuál de las siguientes no es una base de datos relacional?
especifico,78,,"En un modelo Entidad/Relación (E/R), si se desea almacenar la o las tarjetas bancarias de un cliente, se añadirá al tipo de entidad “Cliente” el atributo:"
especifico,79,,"En el contexto del modelado de una base de datos relacional, se desea registrar las asignaturas que una facultad recomienda cursar con anterioridad para matricularse en una asignatura dada. Una asignatura puede tener N asignaturas recomendadas y una misma asignatura puede estar en la lista de recomendadas de varias asignaturas distintas. ¿cómo se denomina ese tipo de interrelación?"
especifico,80,,"En el modelo Entidad/Relación(E/R), ¿Cómo se llama la entidad que no puede ser identificada de forma única por sus propios atributos?"
especifico,81,,¿Quién introdujo el modelo Entidad/Relación (E/R)?
especifico,82,,¿Cuál es el propósito del modelo Entidad/Relacion (E/R)?
especifico,83,,¿Cuáles son las dos clases de entidades existentes en el modelo Entidad/ Relación (E/R)?
especifico,84,,En el contexto del modelo Entidad/ Relación (E/R) ¿qué es la cardinalidad de una relación?
especifico,85,,"En un modelo relacional, ¿qué propiedad garantiza que cada valor de un atributo pertenece al dominio definido?"
especifico,86,,¿Cuál de las siguientes formas normales elimina dependencias parciales respecto a una clave compuesta?
especifico,87,,¿Qué significa la propiedad ‘D’ en ACID?
especifico,88,,"En el modelo Entidad/Relación (E/R), una entidad débil se identifica mediante:"
especifico,89,,¿Qué operación del álgebra relacional corresponde a seleccionar filas que cumplen un predicado?
especifico,90,,¿Cuál es el objetivo de la minería de datos?
especifico,91,,¿Cuál es el objetivo principal del proceso de normalización en el diseño de bases de datos relacionales?
especifico,92,,"En la notación de cardinalidad min -max (m,M) utilizada en el modelo E/R, ¿Qué representa el valor 'm'?"
especifico,93,,¿Qué término describe un atributo en una tabla ( Entidad A) cuyos valores deben coincidir con los valores de la clave primaria de otra tabla (Entidad B)?
especifico,94,,"Cuál de los siguientes modelos de bases de datos es considerado el precursor histórico del modelo relacional, organizando los datos en una estructura de árbol?"
especifico,95,,¿Qué es una transacción en una base de datos?
especifico,96,,¿Cuál es la diferencia fundamental entre una clave primaria y una clave candidata?
especifico,97,,¿Cuál de los siguientes módulos de SAP permite realizar actividades relacionadas con el cumplimiento de las regulaciones financieras gubernamentales?
especifico,98,,¿Cuál de las siguientes opciones refleja una de las ventajas clave de las innovaciones de ventas en SAP S/4HANA?
especifico,99,,"¿Qué aplicación SAP permite llevar a cabo la monitorización, administración y control de proyectos (desde el inicio hasta la implementación) dentro de una organización?"
especifico,100,,¿Cuál de las siguientes afirmaciones es falsa respecto a SAP HANA?
especifico,101,,¿Cuál de las siguientes afirmaciones es falsa respecto a SAP HANA y la tecnología que utiliza?
especifico,102,,¿Qué sistema gestor de bases de datos está soportado por SAP S/4HANA?
especifico,103,,"En SAP S/4HANA, ¿Cómo se denomina el software que actúa como punto de acceso a los sistemas SAP a través de conexiones HTTP/S?"
especifico,104,,"En SAP S/4HANA, ¿qué componente proporciona la interfaz de usuario basada en aplicaciones?"
especifico,105,,¿Qué protocolo usa SAP Gateway para permitir consumir datos del sistema SAP S4/HANA?
especifico,106,,¿Cuál es el tipo de sistema gestor base de datos nativo de SAP S/4HANA?
especifico,107,,¿Qué es principalmente SAP S/4HANA?
especifico,108,,¿Cuál de las siguientes NO es una opción de despliegue de SAP S/4HANA?
especifico,109,,¿Cuál es la función de Fiori Launchpad en SAP S/4HANA?
especifico,110,,¿Qué característica distingue a SAP HANA frente a bases de datos tradicionales?
especifico,111,,¿Cuál es el propósito principal de SAP Vora dentro del ecosistema de análisis de datos en SAP S/4HANA?
especifico,112,,¿Qué significa CDS en el contexto de SAP S/4HANA?
especifico,113,,¿Cuál de las siguientes opciones describe correctamente el proceso de HANAtization durante una conversión a SAP S/4HANA?
especifico,114,,¿Qué tecnología se usa en SAP Fiori para construir la mayoría de interfaces modernas?
especifico,115,,"En S/4HANA, el concepto ‘embedded analytics’ se refiere a:"
especifico,116,,¿Qué rol tiene ABAP en el ecosistema S/4HANA?
especifico,117,,¿Cuál es una opción recomendada para extender S/4HANA minimizando modificaciones al core?
especifico,118,,¿Qué simplificación del modelo de datos ofrece SAP S/4HANA en el área financiera?
especifico,119,,¿Cuál de las siguientes opciones describe correctamente el conjunto completo de layers que conforman la arquitectura de Embedded Analytics en SAP S/4HANA?
especifico,120,,¿Cuál de las siguientes afirmaciones describe correctamente el papel de SAP Leonardo dentro del ecosistema de SAP S/4HANA?
especifico,121,,"En la metodología SCRUM, ¿Cuál de los siguientes roles busca aplicar las mejores prácticas y mejorar el trabajo en equipo?"
especifico,122,,"En la metodología SCRUM, ¿Qué sentencia es errónea?"
especifico,123,,¿Qué se entiende por épica en la metodología SCRUM?
especifico,124,,"En la metodología SCRUM, ¿Cúal de las siguientes herramientas representa la evolución del trabajo durante un sprint?"
especifico,125,,"En la metodología SCRUM, la lista de trabajos y tareas que van a desarrollarse en el transcurso del proyecto se conoce como:"
especifico,126,,"En SCRUM, ¿Qué criterio se sigue para ordenarse los elementos primero?"
especifico,127,,"En SCRUM, ¿Cuál es la responsabilidad del rol Tester?"
especifico,128,,"En SCRUM, ¿Quién es el responsable de medir el rendimiento del proyecto?"
especifico,129,,"En SCRUM, ¿Qué muestra un gráfico BurnDown?"
especifico,130,,"En SCRUM, ¿Qué se hace durante una reunión de revisión del Sprint (Sprint review)?"
especifico,131,,¿Qué es la metodología Agile?
especifico,132,,¿Cuáles son los roles que intervienen en SCRUM?
especifico,133,,¿Cuál de las siguientes preguntas NO es una de las tres que se formulan durante la reunión diaria de Scrum?
especifico,134,,¿Cuál de las siguientes actividades de SCRUM tiene como objetivo permitir que el equipo inspeccione y adapte el proceso de desarrollo?
especifico,135,,¿Cuál es una de las características más importantes de un proyecto que sigue las prácticas Agile?
especifico,136,,¿Por cuántos principios está respaldado el Manifiesto Agil?
especifico,137,,¿Cuál de los siguientes principios no corresponde al Manifiesto Agil?
especifico,138,,¿Qué métrica ágil se suele usar para predecir la capacidad futura del equipo basada en el histórico?
especifico,139,,¿Cuál es la duración típica recomendada de un Sprint en Scrum?
especifico,140,,¿Cuándo es preferible utilizar la metodología en cascada (Waterfall) en lugar de un marco de trabajo ágil como Scrum?
especifico,141,,¿Cuándo NO es adecuado utilizar metodologías ágiles?
especifico,142,,¿Cuál de los siguientes NO es un principio explícito en Kanban?
especifico,143,,"Durante la planificación del Sprint, ¿cuáles son las dos preguntas principales que se deben responder?"
especifico,144,,"En Kanban, ¿qué práctica anima a los equipos a terminar las tareas que tienen entre manos, antes de comprometerse con otras nuevas?"
especifico,145,,¿Cuál de las siguientes fases no es fundamental en la ingeniería del software?
especifico,146,,"¿Cómo se denomina a los requisitos que capturan los servicios que el sistema debe proveer, cómo deberá reaccionar a entradas particulares y cómo deberá comportarse en situaciones específicas?"
especifico,147,,¿Cuál de los siguientes NO es un tipo de diagrama en UML?
especifico,148,,"¿Cómo se denomina al proceso de probar componentes del programa, como métodos o clases de objetos?"
especifico,149,,¿Qué tipos de pruebas se incluyen dentro de las pruebas de desarrollo?
especifico,150,,"Realizar cambios en el código de un programa sin alterar su comportamiento, se considera un mantenimiento"
especifico,151,,¿Cuál de los siguientes es un orden correcto para especificar el ciclo de vida del desarrollo software?
especifico,152,,"En el ámbito de la ingeniería software, se distinguen varios tipos de mantenimiento. ¿Cuál de los siguientes no es uno de ellos?"
especifico,153,,"Durante el proceso de desarrollo de software, ¿En qué fase se generará el diagrama de secuencia de un caso de uso?"
especifico,154,,"¿Cuál de los siguientes procesos, metodologías o frameworks establece cuatro fases (incepción o inicio, elaboración, construcción y transición) para dividir un proyecto en el tiempo?"
especifico,155,,¿En qué fase del ciclo de vida del desarrollo de software se especifica cómo se va a desarrollar el sistema a implementar?
especifico,156,,¿Cuál de los siguientes NO es uno de los modelos de creación de prototipos de software?
especifico,157,,"En el modelo de ciclo de vida en espiral, ¿qué representa la dimensión angular en los ejes cartesianos?"
especifico,158,,¿En qué fase del ciclo de vida del software se produce el documento de requisitos del software?
especifico,159,,¿Qué es un SRD (Software Requirements Document) en el ciclo de vida del software?
especifico,160,,"En el contexto de las fases del ciclo de vida del software, ¿qué documento suele tener la siguiente estructura: información sobre el problema detectado, descripción de la solución adoptada y modificaciones realizadas sobre el sistema?"
especifico,161,,¿Cuáles son las fases del Proceso Unificado?
especifico,162,,"En UML, ¿Qué diagrama se utiliza para modelar el modelo del dominio del sistema?"
especifico,163,,¿Cuál de las siguientes NO es una prueba funcional?
especifico,164,,¿Qué técnica de diseño reduce el acoplamiento y aumenta la cohesión?
especifico,165,,¿Qué es una refactorización (refabricación)?
especifico,166,,¿Qué técnica NO se utiliza en las pruebas de caja negra?
especifico,167,,¿Qué técnica NO se utiliza en las pruebas de caja blanca?
especifico,168,,¿Qué es la complejidad ciclomática de un programa?
especifico,169,,¿Cuál de los siguientes no es un elemento en la definición de un proyecto?
especifico,170,,"El método de estimación que se basa en la opinión de un grupo de cinco o seis expertos para llegar a un consenso de valores estimados, se conoce como:"
especifico,171,,"En la planificación de un proyecto, selecciona cuál de los siguientes elementos no es clave para elaborar un calendario:"
especifico,172,,¿En qué categoría de riesgo se encontraría clasificado el hecho de contar con unos requisitos vagos?
especifico,173,,"En el seguimiento de un proyecto, la relación entre el valor ganado y el coste real, se denomina:"
especifico,174,,Indica las 5 fases en las que se divide un proyecto en el ciclo de vida:
especifico,175,,¿En qué fase del ciclo de vida de un proyecto se llevan a cabo las siguientes actividades: Elaborar el Acta de Constitución (Project Charter) e Identificar las partes interesadas (stakeholders)?
especifico,176,,¿En qué fase del ciclo de vida de un proyecto se lleva a cabo la actividad de desarrollar el plan de dirección del proyecto?
especifico,177,,"¿A qué término corresponde la siguiente definición? ""Relación entre la cantidad de tiempo que se requiere para realizar una tarea en función del número de personas que la van a trabajar"""
especifico,178,,"En el contexto de la gestión de proyectos, ¿Qué significa EDT?"
especifico,179,,¿En qué se diferencia el ciclo de vida de un proyecto del cronograma del mismo?
especifico,180,,¿Cuál es el objetivo de la división del proyecto en etapas?
especifico,181,,¿Qué es una etapa en el ciclo de vida de un proyecto?
especifico,182,,¿En qué consiste la fase de Planificación en la gestión de proyectos?
especifico,183,,"En la gestión de proyectos, ¿en qué fase se llevan a cabo las tareas planificadas para completar los entregables?"
especifico,184,,¿Por qué es posible que las fases de gestión de proyectos se ejecuten ligeramente en paralelo?
especifico,185,,¿Qué se utiliza para representar tareas a lo largo del tiempo y su calendario?
especifico,186,,¿Qué restricción NO forma del análisis de viabilidad de un proyecto interno?
especifico,187,,¿Qué técnica se utiliza específicamente para identificar la secuencia de actividades que determina la duración mínima de un proyecto?
especifico,188,,¿Qué documentación NO se prepara en la fase de planificación del proyecto?
especifico,189,,¿Cuál de estas técnicas NO se utiliza en el cálculo de un presupuesto?
especifico,190,,¿Cuál es la unidad más baja de una EDT/WBS donde se puede estimar el costo y la duración?
especifico,191,,¿Qué significa la matriz de responsabilidad RACI?
especifico,192,,¿Cuál de las siguientes técnicas NO se utiliza para la detección de riesgos en un proyecto?
especifico,193,,En ITIL la unidad organizativa que tiene recursos y medios propios y es responsable de producir un resultado es:
especifico,194,,En ITIL la gestión de los servicios es:
especifico,195,,"¿Dentro de la Estrategia de Servicios de ITIL, qué proceso de gestión es el responsable de generar el plan estratégico (o roadmap) que guía la dirección de TI?"
especifico,196,,¿Cuál de los siguientes procesos no pertenece a la fase de diseño de servicios en ITIL?
especifico,197,,"En ITIL, ¿qué proceso tiene por objetivo restaurar el servicio lo más rápido posible en el plazo establecido cuando un servicio se para o pierde calidad?"
especifico,198,,"Los componentes principales del sistema de valor del servicio ITIL son: los principios rectores (guía), la gobernanza (dirección), la cadena de valor de los servic ios, las prácticas y la… (elige la opción correcta)"
especifico,199,,"¿Qué elementos de ITIL crean la base para la cultura y el comportamiento de una organización, desde la toma de decisiones estratégicas hasta las operaciones cotidianas?"
especifico,200,,¿Cuál de las siguientes opciones describe mejor un servicio en el marco de ITIL?
especifico,201,,"En el marco de ITIL, ¿qué principio rector/director se ocupa principalmente de comprender quién es el consumidor del servicio y cuál es su necesidad?"
especifico,202,,"En el marco de ITIL, ¿qué principio rector/director recomienda evaluar el estado actual y decidir qué se puede reutilizar?"
especifico,203,,¿Cuál es el primer principio director de las buenas prácticas ITIL 4?
especifico,204,,"El tercer principio de ITIL4, ""Implementar las buenas prácticas por iteraciones sucesivas"", indica que debe seguirse el método de 4 etapas ""plan, do, check, act"". A dicho método se le conoce como la rueda de:"
especifico,205,,¿Cuál de los siguientes NO es un principio director de las buenas prácticas ITIL 4?
especifico,206,,"¿Qué es lo primero que se debe hacer si un proceso, servicio, acción o indicador no proporciona valor según las buenas prácticas ITIL 4?"
especifico,207,,¿Cuántos principios rectores (o directores) se definen oficialmente en las buenas prácticas de ITIL 4?
especifico,208,,"¿Cuál es la recomendación fundamental del segundo principio rector de ITIL 4, denominado ""Empezar donde se está""?"
especifico,209,,¿Cuál es la diferencia principal entre incidente y problema en ITIL?
especifico,210,,"En ITIL 4, la “cadena de valor del servicio” incluye actividades como:"
especifico,211,,"En ITIL, ¿Qué práctica se centra en reducir la probabilidad y el impacto de incidentes, identificando las causas reales y potenciales de los incidentes y gestionando soluciones alternativas y errores conocidos?"
especifico,212,,¿Qué es un SLA en el contexto ITIL?
especifico,213,,"¿Cuál es la premisa fundamental del quinto principio rector de ITIL 4, denominado ""Pensar y trabajar de manera integral""?"
especifico,214,,"¿Cuál es el objetivo principal del principio ""Colaborar y promover la visibilidad""?"
especifico,215,,¿En qué situación es más recomendable comenzar a utilizar el marco de referencia ITIL en una organización?
especifico,216,,¿Qué es un flujo de valor en el contexto de ITIL 4?
especifico,217,,"En el proceso KDD, ¿en qué et apa se aplican una serie de técnicas de preprocesado de datos?"
especifico,218,,"En los sistemas OLAP, el operador drill-down consiste en:"
especifico,219,,"Con respecto a business intelligence, indique la sentencia correcta:"
especifico,220,,"Dentro de las tareas de data mining, ¿qué se entiende por clustering?"
especifico,221,,"En Business Intelligence, ¿cuál de las siguientes técnicas de evaluación de modelos emplea la métrica conocida como MAE (mean absolute error)?"
especifico,222,,¿A qué software se refiere la siguiente definición? Framework de programación basado en Java que soporta el procesamiento de grandes conjuntos de datos en un entorno informático distribuido
especifico,223,,"En el contexto del tratamiento de datos para su análisis, ¿qué significan las siglas ETC?"
especifico,224,,"En el área de la minería de datos, ¿qué significa KDD?"
especifico,225,,"De las siguientes opciones, ¿cuál refleja mejor el contenido de un data warehouse?"
especifico,226,,¿Qué es un cubo OLAP?
especifico,227,,¿Cuál de estas arquitecturas NO corresponde a un sistema OLAP?
especifico,228,,Una de las herramientas de código abierto más populares para la minería de datos es:
especifico,229,,"En el contexto de la visualización de datos para “business analytics”, ¿qué es un mapa de calor?"
especifico,230,,"El proceso que utiliza técnicas matemáticas, estadísticas y de Inteligencia Artificial para extraer datos, identificar información útil y conocimientos posteriores en forma de patrones, se denomina:"
especifico,231,,¿Cuál de las siguientes afirmaciones refleja mejor la diferencia entre un Data Mart y un Data Warehouse?
especifico,232,,¿Cuál de las siguientes afirmaciones describe mejor un Data Lake?
especifico,233,,¿Cuál de las siguientes NO es una característica de un cartograma?
especifico,234,,"En el aprendizaje por refuerzo, el agente aprende principalmente a través de:"
especifico,235,,¿Cuál de l as siguientes afirmaciones describe correctamente la relación entre Deep Learning y Machine Learning?
especifico,236,,¿Cuál de las siguientes afirmaciones describe mejor el Cognitive Computing?
especifico,237,,¿Cuál de los siguientes NO es un componente típico de un sistema de Business Intelligence?
especifico,238,,¿Cuál de las siguientes afirmaciones describe mejor la Web Mining?
especifico,239,,¿Qué es la ciencia de datos?
especifico,240,,"En función del origen y la forma en que se generan los datos, ¿cuáles son los dos principales modos de captura en los sistemas de información?"
especifico,241,,"En caso de que se impugne un documento electrónico en el que se utilizó un servicio de confianza cualificado, y las comprobaciones realizadas arrojan un resultado negativo para quien impugnó, ¿qué consecuencia prevé la Ley?"
especifico,242,,El plazo máximo para resolver el procedimiento de verificación previa de cumplimiento de requisitos para incluir a un prestador en la lista de confianza es de 6 meses. ¿Qué efecto produce el silencio administrativo transcurrido dicho plazo?
especifico,243,,"Según la Ley 6/2020, ¿en qué supuesto queda exento de personación física el/la solicitante de un certificado cualificado?"
especifico,244,,"Un prestador cualificado expide certificados de sello electrónico a personas jurídicas. Además de los datos habituales y datos que permitan identificar a la persona física a la que se entregaron dichos certificados, ¿qué información adicional debe registrar obligatoriamente?"
especifico,245,,"Según la Ley 6/2020, ¿cuándo puede un prestador de servicios de confianza suspender la vigencia de un certificado electrónico, a diferencia de revocarlo?"
especifico,246,,"Según la Ley 6/2020, de 11 de noviembre, reguladora de determinados aspectos de los servicios electrónicos de confianza, el periodo de vigen cia de los certificados cualificados no será superior a:"
especifico,247,,"¿Qué propiedades garantiza la firma electrónica, adecuadamente implementada?"
especifico,248,,"Según la Ley 6/2020, de 11 de noviembre, reguladora de determinados aspectos de los servicios electrónicos de confianza, los certificados de autenticación de sitio web expedidos a personas jurídicas consignan la identidad del titular utilizando:"
especifico,249,,"Según la Ley 6/2020, de 11 de noviembre, reguladora de determinados aspectos de los servicios electrónicos de confianza, un prestador de servicios electrónicos de confianza tiene una de estas obligaciones:"
especifico,250,,"Según la Ley 6/2020, de 11 de noviembre, reguladora de determinados aspectos de los servicios electrónicos de confianza, la expedición de certificados cualificados sin realizar todas las comprobaciones previas relativas a la identidad u otras circunstancias del titular es considerada una infracción:"
especifico,251,,"¿Cuál de estas funciones no es ofrecida por los sistemas de correo electrónico seguro, como S/MIME o PGP?"
especifico,252,,¿Qué requisito establece el Reglamento Europeo de Identificación Digital (eIDAS) para la firma electrónica avanzada?
especifico,253,,"¿Qué es necesario para que una firma electrónica sea ""cualificada"" de acuerdo al reglamento eIDAS?"
especifico,254,,"Con respecto a la autenticación de sitios web, el reglamento eIDAS:"
especifico,255,,¿Cuál de estas opciones NO corresponde a un requisito de los certificados cualificados de firma electrónica?
especifico,256,,"La definición ""datos en formato electrónico ajenos a otros datos en formato electrónico, o asociados de manera lógica con ellos, para garantizar el origen y la integridad de estos últimos"" corresponde a:"
especifico,257,,¿Cuál de estas infracciones es considerada leve?
especifico,258,,"Según la Ley 6/2020, ¿cuál es el período mínimo durante el cua l los prestadores cualificados deben conservar la información relativa a los servicios prestados?"
especifico,259,,"Según la Ley 6/2020, ¿qué plazo máximo tiene la Administración para dictar y notificar resolución en el procedimiento de verificación previa para la cualificación de un prestador de servicios de confianza?"
especifico,260,,"Según la Ley 6/2020, ¿qué cuantía mínima debe tener el seguro de responsabilidad civil de un prestador cualificado de servicios electrónicos de confianza?"
especifico,261,,"Según la Ley 6/2020, ¿en qué plazo deben los prestadores de servicios de confianza no cualificados comunicar al Ministerio competente el inicio de su actividad?"
especifico,262,,"Según la Ley 6/2020, ¿qué órgano ejerce la función de supervisión y control de los prestadores de servicios electrónicos de confianza en España?"
especifico,263,,"Según la Ley 6/2020, ¿qué sucede si un prestador cualificado no remite el informe de evaluación de la conformidad en los términos previstos por el Reglamento (UE) 910/2014?"
especifico,264,,"Según la Ley 6/2020, cuando en un certificado cualificado se consigne un pseudónimo en lugar del nombre real del/la titular:"
especifico,265,,"Indique cuál de los siguientes es un derecho del/la interesado/a, según el reglamento europeo de protección de datos."
especifico,266,,"Según el reglamento europeo de protección de datos, indique cuál de los siguientes NO se considera dentro de las categorías especiales de datos personales."
especifico,267,,"El tratamiento de datos personales de manera tal que ya no puedan atribuirse a un/a interesado/a sin utilizar información adicional, siempre que dicha información adicional figure por separado y esté sujeta a medidas técnicas y organizativas destinadas a garantizar que los datos personales no se atribuyan a una persona física identificada o identificable, en el reglamento europeo de protección de datos se entiende por:"
especifico,268,,¿Por quién estará compuesto el comité europeo de protección de datos?
especifico,269,,"¿A cuánto puede ascender cómo máximo las sanciones que impone el reglamento europeo de protección de datos, cuando se comete una infracción?"
especifico,270,,"Según la legislación actual sobre protección de datos, una persona tiene derecho a no aportar documentos que ya se encuentren en poder de la administración actuante o hayan sido elaborados por cualquier otra administración. La administración actuante podrá consultar o recabar dichos documentos salvo que la persona interesada se opusiera a ello. Además, (seleccione la opción más adecuada):"
especifico,271,,El artículo 9 de la Ley Orgánica 3/2018 sobre protección de datos establece como categorías especiales algunos datos personales. ¿Cuál de los siguientes no está considerado como especial?
especifico,272,,"Según el artículo 5 de la Ley Orgánica 3/2018 sobre protección de datos, los responsables y encargados del tratamiento de datos, así como todas las personas que intervengan en cualquier fase de este, estarán sujetas al deber de confidencialidad. Este deber de confidencialidad, ¿hasta cuándo se mantendrá?"
